"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"G30";"G30";"Alzheimer's disease";"G30 Alzheimer's disease"
"G31";"G31";"Oth degenerative diseases of nervous system, NEC";"G31 Oth degenerative diseases of nervous system, NEC"
"G32";"G32";"Oth degeneratv disord of nervous sys in dis classd elswhr";"G32 Oth degeneratv disord of nervous sys in dis classd elswhr"
"G35";"G35";"Multiple sclerosis";"G35 Multiple sclerosis"
"G36";"G36";"Other acute disseminated demyelination";"G36 Other acute disseminated demyelination"
"G37";"G37";"Other demyelinating diseases of central nervous system";"G37 Other demyelinating diseases of central nervous system"
"G40";"G40";"Epilepsy and recurrent seizures";"G40 Epilepsy and recurrent seizures"
"G43";"G43";"Migraine";"G43 Migraine"
"G44";"G44";"Other headache syndromes";"G44 Other headache syndromes"
"G45";"G45";"Transient cerebral ischemic attacks and related syndromes";"G45 Transient cerebral ischemic attacks and related syndromes"
"G46";"G46";"Vascular syndromes of brain in cerebrovascular diseases";"G46 Vascular syndromes of brain in cerebrovascular diseases"
"G47";"G47";"Sleep disorders";"G47 Sleep disorders"
"G50";"G50";"Disorders of trigeminal nerve";"G50 Disorders of trigeminal nerve"
"G51";"G51";"Facial nerve disorders";"G51 Facial nerve disorders"
"G52";"G52";"Disorders of other cranial nerves";"G52 Disorders of other cranial nerves"
"G53";"G53";"Cranial nerve disorders in diseases classified elsewhere";"G53 Cranial nerve disorders in diseases classified elsewhere"
"G54";"G54";"Nerve root and plexus disorders";"G54 Nerve root and plexus disorders"
"G55";"G55";"Nerve root and plexus compressions in diseases classd elswhr";"G55 Nerve root and plexus compressions in diseases classd elswhr"
"G56";"G56";"Mononeuropathies of upper limb";"G56 Mononeuropathies of upper limb"
"G57";"G57";"Mononeuropathies of lower limb";"G57 Mononeuropathies of lower limb"
"G58";"G58";"Other mononeuropathies";"G58 Other mononeuropathies"
"G59";"G59";"Mononeuropathy in diseases classified elsewhere";"G59 Mononeuropathy in diseases classified elsewhere"
"G60";"G60";"Hereditary and idiopathic neuropathy";"G60 Hereditary and idiopathic neuropathy"
"G61";"G61";"Inflammatory polyneuropathy";"G61 Inflammatory polyneuropathy"
"G62";"G62";"Other and unspecified polyneuropathies";"G62 Other and unspecified polyneuropathies"
"G63";"G63";"Polyneuropathy in diseases classified elsewhere";"G63 Polyneuropathy in diseases classified elsewhere"
"G64";"G64";"Other disorders of peripheral nervous system";"G64 Other disorders of peripheral nervous system"
"G65";"G65";"Sequelae of inflammatory and toxic polyneuropathies";"G65 Sequelae of inflammatory and toxic polyneuropathies"
"G70";"G70";"Myasthenia gravis and other myoneural disorders";"G70 Myasthenia gravis and other myoneural disorders"
"G71";"G71";"Primary disorders of muscles";"G71 Primary disorders of muscles"
"G72";"G72";"Other and unspecified myopathies";"G72 Other and unspecified myopathies"
"G73";"G73";"Disord of myoneural junction and muscle in dis classd elswhr";"G73 Disord of myoneural junction and muscle in dis classd elswhr"
"G80";"G80";"Cerebral palsy";"G80 Cerebral palsy"
"G81";"G81";"Hemiplegia and hemiparesis";"G81 Hemiplegia and hemiparesis"
"G82";"G82";"Paraplegia (paraparesis) and quadriplegia (quadriparesis)";"G82 Paraplegia (paraparesis) and quadriplegia (quadriparesis)"
"G83";"G83";"Other paralytic syndromes";"G83 Other paralytic syndromes"
"G89";"G89";"Pain, not elsewhere classified";"G89 Pain, not elsewhere classified"
"G90";"G90";"Disorders of autonomic nervous system";"G90 Disorders of autonomic nervous system"
"G91";"G91";"Hydrocephalus";"G91 Hydrocephalus"
"G92";"G92";"Toxic encephalopathy";"G92 Toxic encephalopathy"
"G93";"G93";"Other disorders of brain";"G93 Other disorders of brain"
"G94";"G94";"Other disorders of brain in diseases classified elsewhere";"G94 Other disorders of brain in diseases classified elsewhere"
"G95";"G95";"Other and unspecified diseases of spinal cord";"G95 Other and unspecified diseases of spinal cord"
"G96";"G96";"Other disorders of central nervous system";"G96 Other disorders of central nervous system"
"G97";"G97";"Intraop and postproc comp and disorders of nervous sys, NEC";"G97 Intraop and postproc comp and disorders of nervous sys, NEC"
"G98";"G98";"Other disorders of nervous system not elsewhere classified";"G98 Other disorders of nervous system not elsewhere classified"
"G99";"G99";"Oth disorders of nervous system in diseases classd elswhr";"G99 Oth disorders of nervous system in diseases classd elswhr"
"H00";"H00";"Hordeolum and chalazion";"H00 Hordeolum and chalazion"
"H01";"H01";"Other inflammation of eyelid";"H01 Other inflammation of eyelid"
"H02";"H02";"Other disorders of eyelid";"H02 Other disorders of eyelid"
"H04";"H04";"Disorders of lacrimal system";"H04 Disorders of lacrimal system"
"H05";"H05";"Disorders of orbit";"H05 Disorders of orbit"
"H10";"H10";"Conjunctivitis";"H10 Conjunctivitis"
"H11";"H11";"Other disorders of conjunctiva";"H11 Other disorders of conjunctiva"
"H15";"H15";"Disorders of sclera";"H15 Disorders of sclera"
"H16";"H16";"Keratitis";"H16 Keratitis"
"H17";"H17";"Corneal scars and opacities";"H17 Corneal scars and opacities"
"H18";"H18";"Other disorders of cornea";"H18 Other disorders of cornea"
"H20";"H20";"Iridocyclitis";"H20 Iridocyclitis"
"H21";"H21";"Other disorders of iris and ciliary body";"H21 Other disorders of iris and ciliary body"
"H22";"H22";"Disorders of iris and ciliary body in diseases classd elswhr";"H22 Disorders of iris and ciliary body in diseases classd elswhr"
"H25";"H25";"Age-related cataract";"H25 Age-related cataract"
"H26";"H26";"Other cataract";"H26 Other cataract"
"H27";"H27";"Other disorders of lens";"H27 Other disorders of lens"
"H28";"H28";"Cataract in diseases classified elsewhere";"H28 Cataract in diseases classified elsewhere"
"H30";"H30";"Chorioretinal inflammation";"H30 Chorioretinal inflammation"
"H31";"H31";"Other disorders of choroid";"H31 Other disorders of choroid"
"H32";"H32";"Chorioretinal disorders in diseases classified elsewhere";"H32 Chorioretinal disorders in diseases classified elsewhere"
"H33";"H33";"Retinal detachments and breaks";"H33 Retinal detachments and breaks"
"H34";"H34";"Retinal vascular occlusions";"H34 Retinal vascular occlusions"
"H35";"H35";"Other retinal disorders";"H35 Other retinal disorders"
"H36";"H36";"Retinal disorders in diseases classified elsewhere";"H36 Retinal disorders in diseases classified elsewhere"
"H40";"H40";"Glaucoma";"H40 Glaucoma"
"H42";"H42";"Glaucoma in diseases classified elsewhere";"H42 Glaucoma in diseases classified elsewhere"
"H43";"H43";"Disorders of vitreous body";"H43 Disorders of vitreous body"
"H44";"H44";"Disorders of globe";"H44 Disorders of globe"
"H46";"H46";"Optic neuritis";"H46 Optic neuritis"
"H47";"H47";"Other disorders of optic [2nd] nerve and visual pathways";"H47 Other disorders of optic [2nd] nerve and visual pathways"
"H49";"H49";"Paralytic strabismus";"H49 Paralytic strabismus"
"H50";"H50";"Other strabismus";"H50 Other strabismus"
"H51";"H51";"Other disorders of binocular movement";"H51 Other disorders of binocular movement"
"H52";"H52";"Disorders of refraction and accommodation";"H52 Disorders of refraction and accommodation"
"H53";"H53";"Visual disturbances";"H53 Visual disturbances"
"H54";"H54";"Blindness and low vision";"H54 Blindness and low vision"
"H55";"H55";"Nystagmus and other irregular eye movements";"H55 Nystagmus and other irregular eye movements"
"H57";"H57";"Other disorders of eye and adnexa";"H57 Other disorders of eye and adnexa"
"H59";"H59";"Intraop and postproc comp and disord of eye and adnexa, NEC";"H59 Intraop and postproc comp and disord of eye and adnexa, NEC"
"H60";"H60";"Otitis externa";"H60 Otitis externa"
"H61";"H61";"Other disorders of external ear";"H61 Other disorders of external ear"
"H62";"H62";"Disorders of external ear in diseases classified elsewhere";"H62 Disorders of external ear in diseases classified elsewhere"
"H65";"H65";"Nonsuppurative otitis media";"H65 Nonsuppurative otitis media"
"H66";"H66";"Suppurative and unspecified otitis media";"H66 Suppurative and unspecified otitis media"
"H67";"H67";"Otitis media in diseases classified elsewhere";"H67 Otitis media in diseases classified elsewhere"
"H68";"H68";"Eustachian salpingitis and obstruction";"H68 Eustachian salpingitis and obstruction"
"H69";"H69";"Other and unspecified disorders of Eustachian tube";"H69 Other and unspecified disorders of Eustachian tube"
"H70";"H70";"Mastoiditis and related conditions";"H70 Mastoiditis and related conditions"
"H71";"H71";"Cholesteatoma of middle ear";"H71 Cholesteatoma of middle ear"
"H72";"H72";"Perforation of tympanic membrane";"H72 Perforation of tympanic membrane"
"H73";"H73";"Other disorders of tympanic membrane";"H73 Other disorders of tympanic membrane"
"H74";"H74";"Other disorders of middle ear mastoid";"H74 Other disorders of middle ear mastoid"
"H75";"H75";"Oth disord of mid ear and mastoid in diseases classd elswhr";"H75 Oth disord of mid ear and mastoid in diseases classd elswhr"
"H80";"H80";"Otosclerosis";"H80 Otosclerosis"
"H81";"H81";"Disorders of vestibular function";"H81 Disorders of vestibular function"
"H82";"H82";"Vertiginous syndromes in diseases classified elsewhere";"H82 Vertiginous syndromes in diseases classified elsewhere"
"H83";"H83";"Other diseases of inner ear";"H83 Other diseases of inner ear"
"H90";"H90";"Conductive and sensorineural hearing loss";"H90 Conductive and sensorineural hearing loss"
"H91";"H91";"Other and unspecified hearing loss";"H91 Other and unspecified hearing loss"
"H92";"H92";"Otalgia and effusion of ear";"H92 Otalgia and effusion of ear"
"H93";"H93";"Other disorders of ear, not elsewhere classified";"H93 Other disorders of ear, not elsewhere classified"
"H94";"H94";"Other disorders of ear in diseases classified elsewhere";"H94 Other disorders of ear in diseases classified elsewhere"
"H95";"H95";"Intraop and postproc comp and disorders of ear/mastd, NEC";"H95 Intraop and postproc comp and disorders of ear/mastd, NEC"
"I00";"I00";"Rheumatic fever without heart involvement";"I00 Rheumatic fever without heart involvement"
"I01";"I01";"Rheumatic fever with heart involvement";"I01 Rheumatic fever with heart involvement"
"I02";"I02";"Rheumatic chorea";"I02 Rheumatic chorea"
"I05";"I05";"Rheumatic mitral valve diseases";"I05 Rheumatic mitral valve diseases"
"I06";"I06";"Rheumatic aortic valve diseases";"I06 Rheumatic aortic valve diseases"
"I07";"I07";"Rheumatic tricuspid valve diseases";"I07 Rheumatic tricuspid valve diseases"
"I08";"I08";"Multiple valve diseases";"I08 Multiple valve diseases"
"I09";"I09";"Other rheumatic heart diseases";"I09 Other rheumatic heart diseases"
"I10";"I10";"Essential (primary) hypertension";"I10 Essential (primary) hypertension"
"I11";"I11";"Hypertensive heart disease";"I11 Hypertensive heart disease"
"I12";"I12";"Hypertensive chronic kidney disease";"I12 Hypertensive chronic kidney disease"
"I13";"I13";"Hypertensive heart and chronic kidney disease";"I13 Hypertensive heart and chronic kidney disease"
"I15";"I15";"Secondary hypertension";"I15 Secondary hypertension"
"I16";"I16";"Hypertensive crisis";"I16 Hypertensive crisis"
"I20";"I20";"Angina pectoris";"I20 Angina pectoris"
"I21";"I21";"Acute myocardial infarction";"I21 Acute myocardial infarction"
"I22";"I22";"Subsequent STEMI & NSTEMI mocard infrc";"I22 Subsequent STEMI & NSTEMI mocard infrc"
"I23";"I23";"Certain crnt comp fol STEMI & NSTEMI mocard infrc <= 28 day";"I23 Certain crnt comp fol STEMI & NSTEMI mocard infrc <= 28 day"
"I24";"I24";"Other acute ischemic heart diseases";"I24 Other acute ischemic heart diseases"
"I25";"I25";"Chronic ischemic heart disease";"I25 Chronic ischemic heart disease"
"I26";"I26";"Pulmonary embolism";"I26 Pulmonary embolism"
"I27";"I27";"Other pulmonary heart diseases";"I27 Other pulmonary heart diseases"
"I28";"I28";"Other diseases of pulmonary vessels";"I28 Other diseases of pulmonary vessels"
"I30";"I30";"Acute pericarditis";"I30 Acute pericarditis"
"I31";"I31";"Other diseases of pericardium";"I31 Other diseases of pericardium"
"I32";"I32";"Pericarditis in diseases classified elsewhere";"I32 Pericarditis in diseases classified elsewhere"
"I33";"I33";"Acute and subacute endocarditis";"I33 Acute and subacute endocarditis"
"I34";"I34";"Nonrheumatic mitral valve disorders";"I34 Nonrheumatic mitral valve disorders"
"I35";"I35";"Nonrheumatic aortic valve disorders";"I35 Nonrheumatic aortic valve disorders"
"I36";"I36";"Nonrheumatic tricuspid valve disorders";"I36 Nonrheumatic tricuspid valve disorders"
"I37";"I37";"Nonrheumatic pulmonary valve disorders";"I37 Nonrheumatic pulmonary valve disorders"
"I38";"I38";"Endocarditis, valve unspecified";"I38 Endocarditis, valve unspecified"
"I39";"I39";"Endocarditis and heart valve disord in dis classd elswhr";"I39 Endocarditis and heart valve disord in dis classd elswhr"
"I40";"I40";"Acute myocarditis";"I40 Acute myocarditis"
"I41";"I41";"Myocarditis in diseases classified elsewhere";"I41 Myocarditis in diseases classified elsewhere"
"I42";"I42";"Cardiomyopathy";"I42 Cardiomyopathy"
"I43";"I43";"Cardiomyopathy in diseases classified elsewhere";"I43 Cardiomyopathy in diseases classified elsewhere"
"I44";"I44";"Atrioventricular and left bundle-branch block";"I44 Atrioventricular and left bundle-branch block"
"I45";"I45";"Other conduction disorders";"I45 Other conduction disorders"
"I46";"I46";"Cardiac arrest";"I46 Cardiac arrest"
"I47";"I47";"Paroxysmal tachycardia";"I47 Paroxysmal tachycardia"
"I48";"I48";"Atrial fibrillation and flutter";"I48 Atrial fibrillation and flutter"
"I49";"I49";"Other cardiac arrhythmias";"I49 Other cardiac arrhythmias"
"I50";"I50";"Heart failure";"I50 Heart failure"
"I51";"I51";"Complications and ill-defined descriptions of heart disease";"I51 Complications and ill-defined descriptions of heart disease"
"I52";"I52";"Other heart disorders in diseases classified elsewhere";"I52 Other heart disorders in diseases classified elsewhere"
"I60";"I60";"Nontraumatic subarachnoid hemorrhage";"I60 Nontraumatic subarachnoid hemorrhage"
"I61";"I61";"Nontraumatic intracerebral hemorrhage";"I61 Nontraumatic intracerebral hemorrhage"
"I62";"I62";"Other and unspecified nontraumatic intracranial hemorrhage";"I62 Other and unspecified nontraumatic intracranial hemorrhage"
"I63";"I63";"Cerebral infarction";"I63 Cerebral infarction"
"I65";"I65";"Occls and stenosis of precerb art, not rslt in cereb infrc";"I65 Occls and stenosis of precerb art, not rslt in cereb infrc"
"I66";"I66";"Occls and stenosis of cereb art, not rslt in cerebral infrc";"I66 Occls and stenosis of cereb art, not rslt in cerebral infrc"
"I67";"I67";"Other cerebrovascular diseases";"I67 Other cerebrovascular diseases"
"I68";"I68";"Cerebrovascular disorders in diseases classified elsewhere";"I68 Cerebrovascular disorders in diseases classified elsewhere"
"I69";"I69";"Sequelae of cerebrovascular disease";"I69 Sequelae of cerebrovascular disease"
"I70";"I70";"Atherosclerosis";"I70 Atherosclerosis"
"I71";"I71";"Aortic aneurysm and dissection";"I71 Aortic aneurysm and dissection"
"I72";"I72";"Other aneurysm";"I72 Other aneurysm"
"I73";"I73";"Other peripheral vascular diseases";"I73 Other peripheral vascular diseases"
"I74";"I74";"Arterial embolism and thrombosis";"I74 Arterial embolism and thrombosis"
"I75";"I75";"Atheroembolism";"I75 Atheroembolism"
"I76";"I76";"Septic arterial embolism";"I76 Septic arterial embolism"
"I77";"I77";"Other disorders of arteries and arterioles";"I77 Other disorders of arteries and arterioles"
"I78";"I78";"Diseases of capillaries";"I78 Diseases of capillaries"
"I79";"I79";"Disord of art, arterioles and capilare in dis classd elswhr";"I79 Disord of art, arterioles and capilare in dis classd elswhr"
"I80";"I80";"Phlebitis and thrombophlebitis";"I80 Phlebitis and thrombophlebitis"
"I81";"I81";"Portal vein thrombosis";"I81 Portal vein thrombosis"
"I82";"I82";"Other venous embolism and thrombosis";"I82 Other venous embolism and thrombosis"
"I83";"I83";"Varicose veins of lower extremities";"I83 Varicose veins of lower extremities"
"I85";"I85";"Esophageal varices";"I85 Esophageal varices"
"I86";"I86";"Varicose veins of other sites";"I86 Varicose veins of other sites"
"I87";"I87";"Other disorders of veins";"I87 Other disorders of veins"
"I88";"I88";"Nonspecific lymphadenitis";"I88 Nonspecific lymphadenitis"
"I89";"I89";"Oth noninfective disorders of lymphatic vessels and nodes";"I89 Oth noninfective disorders of lymphatic vessels and nodes"
"I95";"I95";"Hypotension";"I95 Hypotension"
"I96";"I96";"Gangrene, not elsewhere classified";"I96 Gangrene, not elsewhere classified"
"I97";"I97";"Intraop and postproc comp and disorders of circ sys, NEC";"I97 Intraop and postproc comp and disorders of circ sys, NEC"
"I99";"I99";"Other and unspecified disorders of circulatory system";"I99 Other and unspecified disorders of circulatory system"
"J00";"J00";"Acute nasopharyngitis [common cold]";"J00 Acute nasopharyngitis [common cold]"
"J01";"J01";"Acute sinusitis";"J01 Acute sinusitis"
"J02";"J02";"Acute pharyngitis";"J02 Acute pharyngitis"
"J03";"J03";"Acute tonsillitis";"J03 Acute tonsillitis"
"J04";"J04";"Acute laryngitis and tracheitis";"J04 Acute laryngitis and tracheitis"
"J05";"J05";"Acute obstructive laryngitis [croup] and epiglottitis";"J05 Acute obstructive laryngitis [croup] and epiglottitis"
"J06";"J06";"Acute upper resp infections of multiple and unsp sites";"J06 Acute upper resp infections of multiple and unsp sites"
"J09";"J09";"Influenza due to certain identified influenza viruses";"J09 Influenza due to certain identified influenza viruses"
"J10";"J10";"Influenza due to other identified influenza virus";"J10 Influenza due to other identified influenza virus"
"J11";"J11";"Influenza due to unidentified influenza virus";"J11 Influenza due to unidentified influenza virus"
"J12";"J12";"Viral pneumonia, not elsewhere classified";"J12 Viral pneumonia, not elsewhere classified"
"J13";"J13";"Pneumonia due to Streptococcus pneumoniae";"J13 Pneumonia due to Streptococcus pneumoniae"
"J14";"J14";"Pneumonia due to Hemophilus influenzae";"J14 Pneumonia due to Hemophilus influenzae"
"J15";"J15";"Bacterial pneumonia, not elsewhere classified";"J15 Bacterial pneumonia, not elsewhere classified"
"J16";"J16";"Pneumonia due to oth infectious organisms, NEC";"J16 Pneumonia due to oth infectious organisms, NEC"
"J17";"J17";"Pneumonia in diseases classified elsewhere";"J17 Pneumonia in diseases classified elsewhere"
"J18";"J18";"Pneumonia, unspecified organism";"J18 Pneumonia, unspecified organism"
"J20";"J20";"Acute bronchitis";"J20 Acute bronchitis"
"J21";"J21";"Acute bronchiolitis";"J21 Acute bronchiolitis"
"J22";"J22";"Unspecified acute lower respiratory infection";"J22 Unspecified acute lower respiratory infection"
"J30";"J30";"Vasomotor and allergic rhinitis";"J30 Vasomotor and allergic rhinitis"
"J31";"J31";"Chronic rhinitis, nasopharyngitis and pharyngitis";"J31 Chronic rhinitis, nasopharyngitis and pharyngitis"
"J32";"J32";"Chronic sinusitis";"J32 Chronic sinusitis"
"J33";"J33";"Nasal polyp";"J33 Nasal polyp"
"J34";"J34";"Other and unspecified disorders of nose and nasal sinuses";"J34 Other and unspecified disorders of nose and nasal sinuses"
"J35";"J35";"Chronic diseases of tonsils and adenoids";"J35 Chronic diseases of tonsils and adenoids"
"J36";"J36";"Peritonsillar abscess";"J36 Peritonsillar abscess"
"J37";"J37";"Chronic laryngitis and laryngotracheitis";"J37 Chronic laryngitis and laryngotracheitis"
"J38";"J38";"Diseases of vocal cords and larynx, not elsewhere classified";"J38 Diseases of vocal cords and larynx, not elsewhere classified"
"J39";"J39";"Other diseases of upper respiratory tract";"J39 Other diseases of upper respiratory tract"
"J40";"J40";"Bronchitis, not specified as acute or chronic";"J40 Bronchitis, not specified as acute or chronic"
"J41";"J41";"Simple and mucopurulent chronic bronchitis";"J41 Simple and mucopurulent chronic bronchitis"
"J42";"J42";"Unspecified chronic bronchitis";"J42 Unspecified chronic bronchitis"
"J43";"J43";"Emphysema";"J43 Emphysema"
"J44";"J44";"Other chronic obstructive pulmonary disease";"J44 Other chronic obstructive pulmonary disease"
"J45";"J45";"Asthma";"J45 Asthma"
"J47";"J47";"Bronchiectasis";"J47 Bronchiectasis"
"J60";"J60";"Coalworker's pneumoconiosis";"J60 Coalworker's pneumoconiosis"
"J61";"J61";"Pneumoconiosis due to asbestos and other mineral fibers";"J61 Pneumoconiosis due to asbestos and other mineral fibers"
"J62";"J62";"Pneumoconiosis due to dust containing silica";"J62 Pneumoconiosis due to dust containing silica"
"J63";"J63";"Pneumoconiosis due to other inorganic dusts";"J63 Pneumoconiosis due to other inorganic dusts"
"J64";"J64";"Unspecified pneumoconiosis";"J64 Unspecified pneumoconiosis"
"J65";"J65";"Pneumoconiosis associated with tuberculosis";"J65 Pneumoconiosis associated with tuberculosis"
"J66";"J66";"Airway disease due to specific organic dust";"J66 Airway disease due to specific organic dust"
"J67";"J67";"Hypersensitivity pneumonitis due to organic dust";"J67 Hypersensitivity pneumonitis due to organic dust"
"J68";"J68";"Resp cond d/t inhalation of chemicals, gas, fumes and vapors";"J68 Resp cond d/t inhalation of chemicals, gas, fumes and vapors"
"J69";"J69";"Pneumonitis due to solids and liquids";"J69 Pneumonitis due to solids and liquids"
"J70";"J70";"Respiratory conditions due to other external agents";"J70 Respiratory conditions due to other external agents"
"J80";"J80";"Acute respiratory distress syndrome";"J80 Acute respiratory distress syndrome"
"J81";"J81";"Pulmonary edema";"J81 Pulmonary edema"
"J82";"J82";"Pulmonary eosinophilia, not elsewhere classified";"J82 Pulmonary eosinophilia, not elsewhere classified"
"J84";"J84";"Other interstitial pulmonary diseases";"J84 Other interstitial pulmonary diseases"
"J85";"J85";"Abscess of lung and mediastinum";"J85 Abscess of lung and mediastinum"
"J86";"J86";"Pyothorax";"J86 Pyothorax"
"J90";"J90";"Pleural effusion, not elsewhere classified";"J90 Pleural effusion, not elsewhere classified"
"J91";"J91";"Pleural effusion in conditions classified elsewhere";"J91 Pleural effusion in conditions classified elsewhere"
"J92";"J92";"Pleural plaque";"J92 Pleural plaque"
"J93";"J93";"Pneumothorax and air leak";"J93 Pneumothorax and air leak"
"J94";"J94";"Other pleural conditions";"J94 Other pleural conditions"
"J95";"J95";"Intraop and postproc comp and disorders of resp sys, NEC";"J95 Intraop and postproc comp and disorders of resp sys, NEC"
"J96";"J96";"Respiratory failure, not elsewhere classified";"J96 Respiratory failure, not elsewhere classified"
"J98";"J98";"Other respiratory disorders";"J98 Other respiratory disorders"
"J99";"J99";"Respiratory disorders in diseases classified elsewhere";"J99 Respiratory disorders in diseases classified elsewhere"
"K00";"K00";"Disorders of tooth development and eruption";"K00 Disorders of tooth development and eruption"
"K01";"K01";"Embedded and impacted teeth";"K01 Embedded and impacted teeth"
"K02";"K02";"Dental caries";"K02 Dental caries"
"K03";"K03";"Other diseases of hard tissues of teeth";"K03 Other diseases of hard tissues of teeth"
"K04";"K04";"Diseases of pulp and periapical tissues";"K04 Diseases of pulp and periapical tissues"
"K05";"K05";"Gingivitis and periodontal diseases";"K05 Gingivitis and periodontal diseases"
"K06";"K06";"Other disorders of gingiva and edentulous alveolar ridge";"K06 Other disorders of gingiva and edentulous alveolar ridge"
"K08";"K08";"Other disorders of teeth and supporting structures";"K08 Other disorders of teeth and supporting structures"
"K09";"K09";"Cysts of oral region, not elsewhere classified";"K09 Cysts of oral region, not elsewhere classified"
"K11";"K11";"Diseases of salivary glands";"K11 Diseases of salivary glands"
"K12";"K12";"Stomatitis and related lesions";"K12 Stomatitis and related lesions"
"K13";"K13";"Other diseases of lip and oral mucosa";"K13 Other diseases of lip and oral mucosa"
"K14";"K14";"Diseases of tongue";"K14 Diseases of tongue"
"K20";"K20";"Esophagitis";"K20 Esophagitis"
"K21";"K21";"Gastro-esophageal reflux disease";"K21 Gastro-esophageal reflux disease"
"K22";"K22";"Other diseases of esophagus";"K22 Other diseases of esophagus"
"K23";"K23";"Disorders of esophagus in diseases classified elsewhere";"K23 Disorders of esophagus in diseases classified elsewhere"
"K25";"K25";"Gastric ulcer";"K25 Gastric ulcer"
"K26";"K26";"Duodenal ulcer";"K26 Duodenal ulcer"
"K27";"K27";"Peptic ulcer, site unspecified";"K27 Peptic ulcer, site unspecified"
"K28";"K28";"Gastrojejunal ulcer";"K28 Gastrojejunal ulcer"
"K29";"K29";"Gastritis and duodenitis";"K29 Gastritis and duodenitis"
"K30";"K30";"Functional dyspepsia";"K30 Functional dyspepsia"
"K31";"K31";"Other diseases of stomach and duodenum";"K31 Other diseases of stomach and duodenum"
"K35";"K35";"Acute appendicitis";"K35 Acute appendicitis"
"K36";"K36";"Other appendicitis";"K36 Other appendicitis"
"K37";"K37";"Unspecified appendicitis";"K37 Unspecified appendicitis"
"K38";"K38";"Other diseases of appendix";"K38 Other diseases of appendix"
"K40";"K40";"Inguinal hernia";"K40 Inguinal hernia"
"K41";"K41";"Femoral hernia";"K41 Femoral hernia"
"K42";"K42";"Umbilical hernia";"K42 Umbilical hernia"
"K43";"K43";"Ventral hernia";"K43 Ventral hernia"
"K44";"K44";"Diaphragmatic hernia";"K44 Diaphragmatic hernia"
"K45";"K45";"Other abdominal hernia";"K45 Other abdominal hernia"
"K46";"K46";"Unspecified abdominal hernia";"K46 Unspecified abdominal hernia"
"K50";"K50";"Crohn's disease [regional enteritis]";"K50 Crohn's disease [regional enteritis]"
"K51";"K51";"Ulcerative colitis";"K51 Ulcerative colitis"
"K52";"K52";"Other and unsp noninfective gastroenteritis and colitis";"K52 Other and unsp noninfective gastroenteritis and colitis"
"K55";"K55";"Vascular disorders of intestine";"K55 Vascular disorders of intestine"
"K56";"K56";"Paralytic ileus and intestinal obstruction without hernia";"K56 Paralytic ileus and intestinal obstruction without hernia"
"K57";"K57";"Diverticular disease of intestine";"K57 Diverticular disease of intestine"
"K58";"K58";"Irritable bowel syndrome";"K58 Irritable bowel syndrome"
"K59";"K59";"Other functional intestinal disorders";"K59 Other functional intestinal disorders"
"K60";"K60";"Fissure and fistula of anal and rectal regions";"K60 Fissure and fistula of anal and rectal regions"
"K61";"K61";"Abscess of anal and rectal regions";"K61 Abscess of anal and rectal regions"
"K62";"K62";"Other diseases of anus and rectum";"K62 Other diseases of anus and rectum"
"K63";"K63";"Other diseases of intestine";"K63 Other diseases of intestine"
"K64";"K64";"Hemorrhoids and perianal venous thrombosis";"K64 Hemorrhoids and perianal venous thrombosis"
"K65";"K65";"Peritonitis";"K65 Peritonitis"
"K66";"K66";"Other disorders of peritoneum";"K66 Other disorders of peritoneum"
"K67";"K67";"Disorders of peritoneum in infectious diseases classd elswhr";"K67 Disorders of peritoneum in infectious diseases classd elswhr"
"K68";"K68";"Disorders of retroperitoneum";"K68 Disorders of retroperitoneum"
"K70";"K70";"Alcoholic liver disease";"K70 Alcoholic liver disease"
"K71";"K71";"Toxic liver disease";"K71 Toxic liver disease"
"K72";"K72";"Hepatic failure, not elsewhere classified";"K72 Hepatic failure, not elsewhere classified"
"K73";"K73";"Chronic hepatitis, not elsewhere classified";"K73 Chronic hepatitis, not elsewhere classified"
"K74";"K74";"Fibrosis and cirrhosis of liver";"K74 Fibrosis and cirrhosis of liver"
"K75";"K75";"Other inflammatory liver diseases";"K75 Other inflammatory liver diseases"
"K76";"K76";"Other diseases of liver";"K76 Other diseases of liver"
"K77";"K77";"Liver disorders in diseases classified elsewhere";"K77 Liver disorders in diseases classified elsewhere"
"K80";"K80";"Cholelithiasis";"K80 Cholelithiasis"
"K81";"K81";"Cholecystitis";"K81 Cholecystitis"
"K82";"K82";"Other diseases of gallbladder";"K82 Other diseases of gallbladder"
"K83";"K83";"Other diseases of biliary tract";"K83 Other diseases of biliary tract"
"K85";"K85";"Acute pancreatitis";"K85 Acute pancreatitis"
"K86";"K86";"Other diseases of pancreas";"K86 Other diseases of pancreas"
"K87";"K87";"Disord of GB, biliary trac and pancreas in dis classd elswhr";"K87 Disord of GB, biliary trac and pancreas in dis classd elswhr"
"K90";"K90";"Intestinal malabsorption";"K90 Intestinal malabsorption"
"K91";"K91";"Intraop and postproc comp and disorders of dgstv sys, NEC";"K91 Intraop and postproc comp and disorders of dgstv sys, NEC"
"K92";"K92";"Other diseases of digestive system";"K92 Other diseases of digestive system"
"K94";"K94";"Complications of artificial openings of the digestive system";"K94 Complications of artificial openings of the digestive system"
"K95";"K95";"Complications of bariatric procedures";"K95 Complications of bariatric procedures"
